FlightNumber,Seat,InventoryId,CUSTOMER_ID
2223.0,C24,INV-ZZ-4457881,HRK5602
2223.0,B12,INV-ZZ-4457881,FWB6949
2223.0,B7,INV-ZZ-4457881,IRO3749
2223.0,A18,INV-ZZ-4457881,OYN7414
2223.0,D58,INV-ZZ-2946425,UER6392
2223.0,A25,INV-ZZ-4457881,DGO4123
2223.0,D40,INV-ZZ-4457881,HNX9437
2223.0,C50,INV-ZZ-2946425,AHC7182
2223.0,D61,INV-ZZ-4457881,BQN3528
2223.0,B16,INV-ZZ-2946425,KWE3990
2223.0,C27,INV-ZZ-2946425,CNV3067
2223.0,D42,INV-ZZ-2946425,FVU8674
2223.0,C10,INV-ZZ-4457881,NGS8841
2223.0,D32,INV-ZZ-4457881,MAH6776
2223.0,A26,INV-ZZ-2946425,FGW1080
2223.0,D46,INV-ZZ-2946425,ODK7964
2223.0,A22,INV-ZZ-4457881,ABA8820
2223.0,A31,INV-ZZ-2946425,RQC3060
2223.0,D9,INV-ZZ-4457881,VFV5409
2223.0,D60,INV-ZZ-2946425,IAO7227
2223.0,D43,INV-ZZ-4457881,XFS8870
2223.0,A4,INV-ZZ-4457881,BIC6184
2223.0,B9,INV-ZZ-2946425,ZAE4626
2223.0,C41,INV-ZZ-4457881,YZJ7395
2223.0,D25,INV-ZZ-4457881,OHO8848
2223.0,B8,INV-ZZ-2946425,HXD4652
2223.0,D74,INV-ZZ-2946425,WSY1648
2223.0,C23,INV-ZZ-4457881,TBD4815
2223.0,A37,INV-ZZ-2946425,GKJ8091
2223.0,D55,INV-ZZ-2946425,ZGQ2129
2223.0,A19,INV-ZZ-4457881,IGJ7618
2223.0,D47,INV-ZZ-2946425,HHM5642
2223.0,A21,INV-ZZ-2946425,IWR0419
2223.0,D7,INV-ZZ-4457881,CPO9795
2223.0,B9,INV-ZZ-4457881,OPB2755
2223.0,C45,INV-ZZ-2946425,YDU8921
2223.0,A27,INV-ZZ-2946425,CRP1360
2223.0,D45,INV-ZZ-4457881,YZX1228
2223.0,C19,INV-ZZ-4457881,GCN4106
2223.0,A16,INV-ZZ-4457881,LDB7231
2223.0,B1,INV-ZZ-2774494,PNC5165
2223.0,D2,INV-ZZ-4457881,ZIM3075
2223.0,A36,INV-ZZ-2946425,OKK2873
2223.0,D38,INV-ZZ-2946425,POH9820
2223.0,B18,INV-ZZ-2946425,LAT7998
2223.0,D43,INV-ZZ-2946425,UET8162
2223.0,A18,INV-ZZ-2946425,SUH0920
2223.0,D57,INV-ZZ-2946425,GWP4929
2223.0,A27,INV-ZZ-4457881,PPS4110
2223.0,D8,INV-ZZ-4457881,TOB2787
2223.0,D49,INV-ZZ-4457881,WVH7401
2223.0,C46,INV-ZZ-2946425,UNL1112
2223.0,A28,INV-ZZ-4457881,REL9424
2223.0,D53,INV-ZZ-2946425,HVY0521
2223.0,D37,INV-ZZ-4457881,PTX4588
2223.0,D56,INV-ZZ-4457881,LLV2921
2223.0,A13,INV-ZZ-4457881,EKW3843
2223.0,B14,INV-ZZ-4457881,SHY5648
2223.0,D20,INV-ZZ-4457881,OXP9151
2223.0,D68,INV-ZZ-2946425,DAC9048
2223.0,A28,INV-ZZ-2946425,TTV8781
2223.0,D50,INV-ZZ-2946425,QMT9577
2223.0,B17,INV-ZZ-2946425,LFF4519
2223.0,D48,INV-ZZ-2946425,LAT7154
2223.0,C48,INV-ZZ-2946425,OHB7037
2223.0,D36,INV-ZZ-2946425,ACE5465
2223.0,B12,INV-ZZ-2946425,SWO6503
2223.0,C26,INV-ZZ-4457881,PXA4107
2223.0,D44,INV-ZZ-4457881,VBR8006
2223.0,D59,INV-ZZ-2946425,ONG4418
2223.0,B5,INV-ZZ-4457881,MSY4536
2223.0,D12,INV-ZZ-4457881,QTB3511
2223.0,A32,INV-ZZ-2946425,TTT6913
2223.0,A35,INV-ZZ-2946425,IBD6490
2223.0,C16,INV-ZZ-4457881,QSF9056
2223.0,D36,INV-ZZ-4457881,YLF7495
2223.0,B4,INV-ZZ-4457881,WRC3967
2223.0,D48,INV-ZZ-4457881,IZG5991
2223.0,D14,INV-ZZ-4457881,EEL0159
2223.0,A5,INV-ZZ-4457881,TNE3193
2223.0,A25,INV-ZZ-2946425,EJJ0710
2223.0,A10,INV-ZZ-4457881,WZZ6799
2223.0,C37,INV-ZZ-4457881,GYQ5822
2223.0,D54,INV-ZZ-4457881,MGG1782
2223.0,D39,INV-ZZ-4457881,NJO5727
2223.0,A21,INV-ZZ-4457881,YJW4679
2223.0,D1,INV-ZZ-2774494,ZAS5722
2223.0,D33,INV-ZZ-4457881,YZG7105
